Ticker,Cluster,PCA_1,PCA_2,mean_return,volatility,beta,mean_volume,mean_pe,mean_market_cap
NTPC.NS,4,-0.39482696161278813,0.5492398960546069,-0.0064445100390786965,-0.040463057362919684,-0.39196752934519247,0.03707321124038847,-0.6731712540509485,-0.1962087208452744
ONGC.NS,4,-0.015321829346813816,0.6054850689443307,-0.004988863038701513,-0.013472296736430026,-0.6590094632550493,0.05034830296934753,-1.1849346720276657,-0.21402940443041463
POWERGRID.NS,4,-0.3636887465549878,0.5147518185888252,-0.006353276325502643,-0.04385004380843854,-0.4781100886709528,0.14905473481513945,-0.8307159278477464,-0.47395884406802463
RELIANCE.NS,0,1.740860745622644,3.9529579708048956,-0.002697514294594648,-0.019666921772420715,-0.034475908143287375,1.674185257578574,-0.526983861321401,3.822904779424961
SBILIFE.NS,1,-1.3686206187977914,-1.2783901904139532,-0.006489077796229645,-0.04407540849642715,0.11196644271050521,-0.38761267063112753,2.3128398096183904,-0.5733087727074063
SBIN.NS,0,0.8043090770386493,2.253380787639347,-0.005143125573728296,-0.020843121154583664,-0.24121805052511194,0.9046468079130136,-1.051027998587218,1.4943306327685255
SHREECEM.NS,1,-0.9387354444271868,-1.20374808638792,-0.0026649234657913517,-0.021803894071671107,-0.6676237191876253,-0.4506003925623056,1.1297885310047753,-0.8417106293823488
SUNPHARMA.NS,4,-0.5599820483636344,-0.12798887024750824,-0.0035170532543512094,-0.025672610827720772,-0.6676237191876253,-0.2821720852966683,0.15666887237423038,-0.09837036316881889
TATACONSUM.NS,1,-1.1052666197076515,-1.4038228238834103,-0.005376468051337291,-0.0246588014456468,0.05166665118247297,-0.3150035516419198,2.105083158016742,-0.803055849671564
TATASTEEL.NS,3,5.939985429730327,0.16595010798823787,0.038820527792342976,0.20582945473329903,2.1277023309332956,3.3815329941038743,0.09814526480278395,-0.4679466984105234
TCS.NS,0,-0.07060682652856935,1.5101899483911245,-0.003243066984675531,-0.030720372392675825,-0.05601154797472746,-0.2779388212567147,-0.4769352437154613,1.8484911836539233
TECHM.NS,4,-0.6720618234866526,-0.41027263469371494,-0.005384132359114957,-0.02258351546957016,-0.4608815768058007,-0.3113421045050937,0.000534582447669761,-0.6932809358392079
TITAN.NS,1,-0.8620770057157567,-1.4063902088187292,-0.0027682849369517573,-0.003585675759369128,-0.848523093771722,-0.25601346888051724,2.54856147402946,-0.17638289628541926
ULTRACEMCO.NS,1,-0.8094764795412988,-0.38467799112954054,-0.004830789217932372,-0.030509426756383393,0.13350208254194507,-0.43794276540993354,0.7474362705418954,-0.12282054751542981
WIPRO.NS,2,0.3915827459571362,0.50202414924159,-0.002926073460973406,-0.005131148017427522,1.0336918274961402,0.35680687770922703,-0.7188895283212008,-0.4489320656213229
